"Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
"May 8, 2020","North Carolina","Winston Salem (Winston-salem)","5300 Countryside Ct",0,1,N/A
"May 8, 2020","South Carolina",Camden,N/A,1,0,N/A
"May 8, 2020",California,Oakland,"8900 block of D St",0,1,N/A
"May 8, 2020",Wisconsin,Milwaukee,"N 48th St and W Center St",1,0,N/A
"May 8, 2020",Arizona,Chandler,"W Elliot Rd and S Price Rd",0,1,N/A
"May 8, 2020",Texas,Houston,"11402 North Fwy",1,1,N/A
"May 8, 2020",Nevada,Jean,"23600 S Las Vegas Blvd",1,0,N/A
"May 8, 2020",Delaware,Bear,"2465 Chesapeake City Rd",1,1,N/A
"May 8, 2020",Texas,Houston,"11796 North Fwy",1,0,N/A
"May 8, 2020",Texas,"San Antonio","100 block of N Olive St",0,1,N/A
"May 8, 2020",Maryland,Cumberland,"500 block of N Mechanic St",0,0,N/A
"May 8, 2020",Florida,"Putnam (county)",N/A,0,1,N/A
"May 8, 2020",Washington,Tacoma,"5100 block of S 58th St",1,0,N/A
"May 8, 2020","New York",Lockport,"6300 block of Raymond Rd",0,2,N/A
"May 8, 2020","New York",Bronx,"E 187th St and Prospect Ave",0,0,N/A
"May 8, 2020","South Carolina",Longs,"600 block of McNeil Chapel Rd",0,1,N/A
"May 8, 2020",Maryland,"Silver Spring (Aspen Hill)","3100 block of Hewitt Ave",0,1,N/A
"May 8, 2020",Alabama,Beauregard,"1100 block of Lee Rd 147",0,0,N/A
"May 8, 2020",Pennsylvania,Tioga,"120 Scenic View Dr",0,1,N/A
"May 8, 2020",Texas,Dallas,"3800 block of Utah Ave",0,0,N/A
"May 7, 2020",Maryland,Baltimore,"5100 block of Stafford Rd",0,4,N/A
"May 7, 2020",Arkansas,"Fort Smith","N 17th St and N C St",0,0,N/A
"May 7, 2020",Texas,Lubbock,"1700 block of 30th St",1,0,N/A
"May 7, 2020",Kansas,"Junction City","800 W 11th St",2,0,N/A
"May 7, 2020",Michigan,Dearborn,"19500 Ford Rd",0,0,N/A
"May 7, 2020",Michigan,Detroit,"Monterey Ave and Wildemere St",0,0,N/A
"May 7, 2020",Louisiana,Gray,"500 block of Linda Ann Ave",0,1,N/A
"May 7, 2020",Pennsylvania,Philadelphia,"2301 Edgley St",0,3,N/A
"May 7, 2020",Michigan,Detroit,"8100 block of Ellsworth St",0,0,N/A
"May 7, 2020",Virginia,Hampton,"200 block of Culotta Dr",0,1,N/A
"May 7, 2020",Tennessee,Nashville,"130 block of Lafayette St",0,1,N/A
"May 7, 2020",Louisiana,"New Orleans (Algiers)","3400 Garden Oaks Dr",0,1,N/A
"May 7, 2020",Louisiana,"Bossier City","2300 block of Bobbie St",0,1,N/A
"May 7, 2020",Louisiana,Shreveport,"Pine Tree Dr and Wyngate Blvd",0,1,N/A
"May 7, 2020",Georgia,"Warner Robins","400 block of North Ave",0,1,N/A
"May 7, 2020",Florida,Gainesville,"6900 SW 21st Ln",0,1,N/A
"May 7, 2020","District of Columbia",Washington,"13th St NW and Kennedy St NW",0,1,N/A
"May 7, 2020",Florida,Maitland,"1600 block of Warrens Ave",1,0,N/A
"May 7, 2020",Florida,Miami,"NE Miami Pl and 14th Pl",0,0,N/A
"May 7, 2020",Massachusetts,Lowell,"Caleb St",0,0,N/A
"May 7, 2020",Massachusetts,Boston,"26 Forest St",0,1,N/A
"May 7, 2020",California,Fresno,"N Abby St and Belmont Ave",1,0,N/A
"May 7, 2020",California,"Rancho Cordova","10500 block of Mills Tower Dr",0,1,N/A
"May 7, 2020",Indiana,Indianapolis,"6700 block of E 46th St",1,0,N/A
"May 7, 2020",Illinois,Chicago,"4252 W Van Buren St",0,2,N/A
"May 7, 2020","District of Columbia",Washington,"21st St NE and H St NE",0,3,N/A
"May 7, 2020","District of Columbia",Washington,"500 block of 51st St NE",0,1,N/A
"May 7, 2020",Illinois,Chicago,"1400 E Marquette Rd",0,1,N/A
"May 7, 2020",Wisconsin,Milwaukee,"2500 block of N 12th St",0,1,N/A
"May 7, 2020","New York","Niagara Falls","3100 block of 9th St",1,0,N/A
"May 7, 2020","South Carolina",Piedmont,"Aragon St",0,1,N/A
